ID	time	value	Diet	cluster
0	0.0	0.0	LC	2
0	1.0	0.0	LC	2
0	2.0	0.0	LC	2
0	4.0	0.00216552113737	LC	2
0	7.0	0.011859136597	LC	2
0	14.0	0.0104638450726	LC	2
0	21.0	0.00102420856611	LC	2
1	0.0	0.0	LC	2
1	1.0	0.0	LC	2
1	2.0	0.0	LC	2
1	4.0	0.000107921433197	LC	2
1	7.0	0.00862619808307	LC	2
1	14.0	0.00453651897777	LC	2
1	21.0	0.00151392813888	LC	2
2	0.0	0.0	LC	2
2	1.0	0.0	LC	2
2	2.0	0.0	LC	2
2	4.0	0.000764391133063	LC	2
2	7.0	0.00301204819277	LC	2
2	14.0	0.00235195296094	LC	2
2	21.0	0.00148367952522	LC	2
3	0.0	0.0	LC	2
3	1.0	0.0	LC	2
3	2.0	0.0	LC	2
3	4.0	0.000516662361147	LC	2
3	7.0	0.00382736156352	LC	2
3	14.0	0.00591341077086	LC	2
3	21.0	0.000682035193016	LC	2
4	0.0	0.0	LC	2
4	1.0	0.0	LC	2
4	2.0	0.0	LC	2
4	4.0	0.000310903841883	LC	2
4	14.0	0.00269156363025	LC	2
4	21.0	0.00039210560711	LC	2
5	0.0	0.0	HC	0
5	1.0	0.0	HC	0
5	2.0	0.0	HC	0
5	4.0	0.0	HC	0
5	7.0	0.0	HC	0
5	14.0	0.0	HC	0
5	21.0	0.0	HC	0
6	0.0	0.0	HC	0
6	1.0	0.0	HC	0
6	2.0	0.0	HC	0
6	4.0	0.0	HC	0
6	7.0	0.0	HC	0
6	14.0	0.0	HC	0
6	21.0	0.0	HC	0
7	0.0	0.0	HC	0
7	1.0	0.0	HC	0
7	2.0	0.0	HC	0
7	4.0	0.0	HC	0
7	7.0	0.0	HC	0
7	14.0	0.0	HC	0
7	21.0	0.0	HC	0
8	0.0	0.0	HC	0
8	1.0	0.0	HC	0
8	2.0	0.0	HC	0
8	4.0	0.0	HC	0
8	7.0	0.0	HC	0
8	14.0	0.0	HC	0
8	21.0	0.0	HC	0
9	0.0	0.0	HC	0
9	1.0	0.0	HC	0
9	2.0	0.0	HC	0
9	4.0	0.0	HC	0
9	7.0	0.0	HC	0
9	14.0	0.0	HC	0
9	21.0	0.0	HC	0
10	0.0	0.0	HCEL	1
10	1.0	0.0	HCEL	1
10	2.0	0.0	HCEL	1
10	4.0	0.0	HCEL	1
10	7.0	0.0	HCEL	1
10	14.0	0.0	HCEL	1
10	21.0	0.00549450549451	HCEL	1
11	0.0	0.0	HCEL	1
11	1.0	0.0	HCEL	1
11	2.0	0.0	HCEL	1
11	4.0	0.0	HCEL	1
11	7.0	0.0	HCEL	1
11	14.0	0.0	HCEL	1
11	21.0	0.0137931034483	HCEL	1
12	0.0	0.0	HCEL	0
12	1.0	0.0	HCEL	0
12	2.0	0.0	HCEL	0
12	4.0	0.0	HCEL	0
12	7.0	0.0	HCEL	0
12	14.0	0.0	HCEL	0
12	21.0	0.0	HCEL	0
13	0.0	0.0	HCEL	1
13	1.0	0.0	HCEL	1
13	2.0	0.0	HCEL	1
13	4.0	0.0	HCEL	1
13	7.0	0.0	HCEL	1
13	14.0	0.0	HCEL	1
13	21.0	0.015625	HCEL	1
14	0.0	0.0	HCEL	1
14	1.0	0.0	HCEL	1
14	2.0	0.0	HCEL	1
14	4.0	0.0	HCEL	1
14	7.0	0.0	HCEL	1
14	14.0	0.0	HCEL	1
14	21.0	3.75756209371e-05	HCEL	1
15	0.0	0.0	HPSY	0
15	1.0	0.0	HPSY	0
15	2.0	0.0	HPSY	0
15	4.0	0.0	HPSY	0
15	7.0	0.0	HPSY	0
15	14.0	0.0	HPSY	0
15	21.0	0.0	HPSY	0
16	0.0	0.0	HPSY	0
16	1.0	0.0	HPSY	0
16	2.0	0.0	HPSY	0
16	4.0	0.0	HPSY	0
16	7.0	0.0	HPSY	0
16	14.0	0.0	HPSY	0
16	21.0	0.0	HPSY	0
17	0.0	0.0	HPSY	0
17	1.0	0.0	HPSY	0
17	2.0	0.0	HPSY	0
17	4.0	0.0	HPSY	0
17	7.0	0.0	HPSY	0
17	14.0	0.0	HPSY	0
17	21.0	0.0	HPSY	0
18	0.0	0.0	HPSY	0
18	1.0	0.0	HPSY	0
18	2.0	0.0	HPSY	0
18	4.0	0.0	HPSY	0
18	7.0	0.0	HPSY	0
18	14.0	0.0	HPSY	0
18	21.0	0.0	HPSY	0
19	0.0	0.0	HPSY	0
19	1.0	0.0	HPSY	0
19	2.0	0.0	HPSY	0
19	4.0	0.0	HPSY	0
19	7.0	0.0	HPSY	0
19	14.0	0.0	HPSY	0
19	21.0	0.0	HPSY	0
