index	num_classes	function_combo	noise_level	seed	dataset_path
1	3	exponential-hyperbolic-norm	0.0	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.0.tsv
2	3	exponential-hyperbolic-norm	0.0	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.1.tsv
3	3	exponential-hyperbolic-norm	0.0	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.2.tsv
4	3	exponential-hyperbolic-norm	0.0	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.3.tsv
5	3	exponential-hyperbolic-norm	0.0	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.4.tsv
6	3	exponential-hyperbolic-norm	0.0	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.5.tsv
7	3	exponential-hyperbolic-norm	0.0	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.6.tsv
8	3	exponential-hyperbolic-norm	0.0	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.7.tsv
9	3	exponential-hyperbolic-norm	0.0	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.8.tsv
10	3	exponential-hyperbolic-norm	0.0	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.0noise.exponential-hyperbolic-norm.200reps.9.tsv
11	3	exponential-hyperbolic-norm	0.04	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.0.tsv
12	3	exponential-hyperbolic-norm	0.04	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.1.tsv
13	3	exponential-hyperbolic-norm	0.04	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.2.tsv
14	3	exponential-hyperbolic-norm	0.04	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.3.tsv
15	3	exponential-hyperbolic-norm	0.04	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.4.tsv
16	3	exponential-hyperbolic-norm	0.04	5	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.5.tsv
17	3	exponential-hyperbolic-norm	0.04	6	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.6.tsv
18	3	exponential-hyperbolic-norm	0.04	7	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.7.tsv
19	3	exponential-hyperbolic-norm	0.04	8	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.8.tsv
20	3	exponential-hyperbolic-norm	0.04	9	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.04noise.exponential-hyperbolic-norm.200reps.9.tsv
21	3	exponential-hyperbolic-norm	0.08	0	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.0.tsv
22	3	exponential-hyperbolic-norm	0.08	1	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.1.tsv
23	3	exponential-hyperbolic-norm	0.08	2	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.2.tsv
24	3	exponential-hyperbolic-norm	0.08	3	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.3.tsv
25	3	exponential-hyperbolic-norm	0.08	4	/sc/arion/projects/CVDlung/earl/loclust/simulations/data_potentially_simple/input_trajs/8/3/0.08noise.exponential-hyperbolic-norm.200reps.4.tsv
